# DisplayName	AssetName	SourceEra	ProjectEraHint	SourcePack	SourceGroup	SourceCategory	ProjectCategoryHint	GameplayCategory	BuildCost	BlueprintCost	ConnectionCostPerCell	IsLandmark	KeybindAction	AssetPath	BlueprintPath
Tourist Port	DA_TouristPort	Cold War	ColdWar	Cold War	ColdWar	Tourism	Tourism	Tourism	9000	0	0	False	BuildTouristPort	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\ColdWar\DA_TouristPort.uasset	/Game/Blueprints/Buildings/ColdWar/TouristPort/BP_T6TouristPort.BP_T6TouristPort_C
Relocation	DA_T6RelocationDoppelgangerBP	Colonial	Colonial	Colonial	Colonial				2500	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6RelocationDoppelgangerBP.uasset	/Game/Blueprints/Buildings/Relocation/BP_T6RelocationDoppelganger.BP_T6RelocationDoppelganger_C
Anniversary Park	DA_T6AnniversaryParkBP	Colonial	Colonial	Colonial	Colonial	Decoration	Infrastructure		500	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6AnniversaryParkBP.uasset	/Game/Blueprints/Buildings/Colonial/AnniversaryPark/BP_T6AnniversaryPark.BP_T6AnniversaryPark_C
Fountain	DA_T6FountainBP	Colonial	Colonial	Colonial	Colonial	Decoration	Infrastructure		75	0	0	False	BuildFountain	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6FountainBP.uasset	/Game/Blueprints/Buildings/Colonial/Fountain/BP_T6Fountain.BP_T6Fountain_C
Large Garden	DA_T6LargeGardenBigBP	Colonial	Colonial	Colonial	Colonial	Decoration	Infrastructure		120	0	0	False	BuildPark23	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6LargeGardenBigBP.uasset	/Game/Blueprints/Buildings/Colonial/LargeGarden/BP_T6LargeGardenBig.BP_T6LargeGardenBig_C
Large Garden	DA_T6LargeGardenBP	Colonial	Colonial	Colonial	Colonial	Decoration	Infrastructure		80	0	0	False	BuildPark22	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6LargeGardenBP.uasset	/Game/Blueprints/Buildings/Colonial/LargeGarden/BP_T6LargeGarden.BP_T6LargeGarden_C
Large Garden	DA_T6LargeGardenHuge	Colonial	Colonial	Colonial	Colonial	Decoration	Infrastructure		180	0	0	False	BuildPark33	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6LargeGardenHuge.uasset	/Game/Blueprints/Buildings/Colonial/LargeGarden/BP_T6LargeGardenHuge.BP_T6LargeGardenHuge_C
Small Garden	DA_T6SmallGardenBP	Colonial	Colonial	Colonial	Colonial	Decoration	Infrastructure		25	0	0	False	BuildPark11	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6SmallGardenBP.uasset	/Game/Blueprints/Buildings/Colonial/SmallGarden/BP_T6SmallGarden.BP_T6SmallGarden_C
Small Garden	DA_T6SmallGardenMediumBP	Colonial	Colonial	Colonial	Colonial	Decoration	Infrastructure		40	0	0	False	BuildPark21	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6SmallGardenMediumBP.uasset	/Game/Blueprints/Buildings/Colonial/SmallGarden/BP_T6SmallGardenMedium.BP_T6SmallGardenMedium_C
Square	DA_T6Square2x2BP	Colonial	Colonial	Colonial	Colonial	Decoration	Infrastructure		100	0	0	False	BuildSquare22	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6Square2x2BP.uasset	/Game/Blueprints/Buildings/Colonial/Square/BP_T6Square2x2.BP_T6Square2x2_C
Square	DA_T6Square2x3BP	Colonial	Colonial	Colonial	Colonial	Decoration	Infrastructure		150	0	0	False	BuildSquare23	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6Square2x3BP.uasset	/Game/Blueprints/Buildings/Colonial/Square/BP_T6Square2x3.BP_T6Square2x3_C
Square	DA_T6Square3x3BP	Colonial	Colonial	Colonial	Colonial	Decoration	Infrastructure		250	0	0	False	BuildSquare33	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6Square3x3BP.uasset	/Game/Blueprints/Buildings/Colonial/Square/BP_T6Square3x3.BP_T6Square3x3_C
