# Category	LocalIndex	DisplayName	BlueprintCost	ConstructionCost	TemplateType	IconPath	SpriteTexturePath	DetailText
Infrastructure	0	도로		15	SingleTileMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\T_ICO_Road.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\T_ICO_Road.png	등장 시기: 식민지 시대, 세계대전 시대(다리)\n건물을 도로로 연결하여 상품 운송과 이동을 가능하게 합니다.
Infrastructure	11	버스차고지	1000	1500	SingleTileMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_busGarage.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_busGarage.png	등장 시기: 세계대전 시대\n필요 인력: 4 (무학력자)\n크기: 3x2\n비고: 도로\n운영 모드:\n- 승차권\n- 무료 승차\n업그레이드:\n- 전기 버스 (현대, 1500, 40MW 필요)
Infrastructure	12	버스 정류장		0	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_busStop.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_busStop.png	등장 시기: 세계대전 시대\n버스 노선의 지점을 설정합니다.\n버스차고지 건설 시 사용 가능합니다.
Infrastructure	13	터널 연결		4000	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\T_ICO_Tunnel.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\T_ICO_Tunnel.png	등장 시기: 세계대전 시대\n두 개의 터널을 연결해 고저차 지형을 우회하는 지름길 도로망을 만듭니다.\n기본 비용은 연결 길이에 따라 증가합니다.
Infrastructure	14	원자력 발전소	16000	32000	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColdWar\\T_ICO_ColdWar_NuclearPowerPlant.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColdWar\\T_ICO_ColdWar_NuclearPowerPlant.png	등장 시기: 냉전 시대\n필요 인력: 4 (대졸)\n발전량: 800MW\n크기: 8x6\n비고: 도로\n운영 모드:\n- 전기 생산 집중\n- 우라늄 농축 (연구 필요)\n업그레이드:\n- 보관 용기 (냉전, 4000)\n- 납 차폐 (냉전, 6000)
Infrastructure	15	지하철역	2500	5000	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColdWar\\T_ICO_ColdWar_metroStation.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColdWar\\T_ICO_ColdWar_metroStation.png	등장 시기: 냉전 시대\n필요 인력: 2 (무학력자)\n필요 전력: 20MW\n크기: 1x1\n효과: 같은 섬 지하철역 간 승객 이동\n업그레이드:\n- 조명 추가 (현대, 500)
Infrastructure	16	공중 케이블 기지	2250	9000	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsModernTimes\\T_ICO_ModernTimes_telefericStation.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsModernTimes\\T_ICO_ModernTimes_telefericStation.png	등장 시기: 냉전 시대\n필요 인력: 4 (무학력자)\n필요 전력: 15MW\n크기: 2x2\n운영 모드:\n- 승차권\n- 무료 승차\n업그레이드:\n- 오디오 여행 가이드 (현대, 1500)
Infrastructure	17	풍력 터빈	1250	2500	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsModernTimes\\T_ICO_ModernTimes_windFarm.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsModernTimes\\T_ICO_ModernTimes_windFarm.png	등장 시기: 현대 시대\n필요 인력: 없음\n크기: 2x2\n생산 전력: 70MW(최고효율)\n운영 모드:\n- 자연풍 발전\n- 분당 64회전 (연구 필요)
Infrastructure	18	해상 풍력 터빈	5000	9500	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsModernTimes\\ICO_OffshoreWindTurbine.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsModernTimes\\ICO_OffshoreWindTurbine.png	등장 시기: 현대 시대\n필요 인력: 없음\n크기: 8x8\n생산 전력: 82MW(최고효율)\n운영 모드:\n- 공해 풍력 발전\n- 스모그 팬 (전력 45MW 소모, 공해 감소)
Infrastructure	19	태양광 발전소	9000	18000	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsModernTimes\\T_ICO_ModernTimes_solarPowerPlant.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsModernTimes\\T_ICO_ModernTimes_solarPowerPlant.png	등장 시기: 현대 시대\n필요 인력: 3 (고졸)\n생산 전력: 450MW\n크기: 7x7\n운영 모드:\n- 화창한 오후\n- 태양광 과부하 (연구 필요)\n업그레이드:\n- 수프라 서페이스 3000메가 (현대, 5000)
FoodResource	0	코코넛 수확기	없음(기본 해금)	800	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_CoconutHarvester.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_CoconutHarvester.png	등장 시기: 식민지 시대\n필요 인력: 6 (무학력자)\n크기: 3x2\n비고: 도로\n효과: 근처 야자수에서 코코넛 수확\n업그레이드:\n- 코코넛 절단기 (식민지, 300, 직업 품질 +5, 효율 +15%)\n- 치료 (냉전, 1500, 코코넛 재생 시간 -50%)
FoodResource	1	벌목소	없음	875	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_loggingCamp.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_loggingCamp.png	등장 시기: 식민지 시대\n필요 인력: 6 (무학력자)\n크기: 3x2\n비고: 도로\n효과: 나무 벌목, 적은 공해 배출\n운영 모드:\n- 식수 병행 (묘목 재식재)\n- 숲 벌목 (묘목 재식재 없음)\n업그레이드:\n- 양묘장 (세계대전, 1500, 성장 시간 -50%)\n- 전기톱 (냉전, 1200, 효율 +20%, 직업 품질 +15)
FoodResource	2	어선 선착장	없음	1200	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_wharf.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_wharf.png	등장 시기: 식민지 시대\n필요 인력: 4 (무학력자)\n크기: 5x6\n비고: 해안, 도로\n효과: 근처 어장에서 물고기 생산\n운영 모드:\n- 선조의 방식\n- 유망어업 (세계대전, 어장 1개당 물고기 1.75 생산)\n- 지역시장 공급 (냉전, 산출량 -25%, 고급 레스토랑 효율 보너스)\n업그레이드:\n- 형망 어업 (식민지, 750, 조개류 추가 생산)
FoodResource	3	대규모 농장	없음	1500	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_plantation.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_plantation.png	등장 시기: 식민지 시대\n필요 인력: 8 (무학력자)\n크기: 최대 6x9\n비고: 도로\n효과: 선택 작물 재배\n운영 모드:\n- 단일 재배 (최대 효율, 비옥도 감소)\n- 다양한 재배 (효율 -40%, 비옥도 유지, 인접 보너스)\n업그레이드(요약):\n- 공통: 녹색 폐기물 분쇄기, 현대화(대규모 수경 농장 전환)\n- 작물별: 옥수수/바나나/파인애플/설탕/코코아/담배/커피/목화/고무 전용 업그레이드
FoodResource	4	퇴비 살포기	없음	300	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_smallGarden.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_smallGarden.png	등장 시기: 식민지 시대\n필요 인력: 3 (무학력자)\n크기: 2x1\n비고: 도로\n효과: 범위 내 대규모 농장/목장 토양 악화 대응\n운영 모드:\n- 광역 살포\n- 집중 살포 (범위 -30%, 효율 +200%)\n업그레이드:\n- 코 죔쇠 (식민지, 300, 직업 품질 +15)\n- 더 높이 쌓기 (식민지, 600, 퇴비 재고 +2000)
FoodResource	5	목장	없음	900	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_ranch.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_ranch.png	등장 시기: 식민지 시대\n필요 인력: 4 (무학력자)\n크기: 4x4\n효과: 가축 자원 생산(우유/고기/양모/생가죽/가죽)\n운영 모드:\n- 인도적인 착취\n- 방목 금지 (비옥도 유지, 효율 -15%)\n업그레이드(요약):\n- 공통: 가축병 예방접종\n- 가축별: 소/양/악어/돼지/염소/라마 전용 업그레이드
FoodResource	6	광산	없음	1200	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_mine.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_mine.png	등장 시기: 식민지 시대\n필요 인력: 5 (무학력자)\n크기: 3x4\n효과: 석탄/철/황금/니켈/알루미늄/우라늄 채굴, 공해 배출\n운영 모드:\n- 기본\n- 수익 추구 절차\n업그레이드(요약):\n- 공통: 동력 드릴(15MW 필요, 효율 +25%), 카나리아(화재 위험 감소)\n- 자원별: 선탄장/배소실/유해폐기물 폐기장 등
FoodResource	7	정유시설	2500	5000	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_oilWell.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_oilWell.png	등장 시기: 세계대전 시대\n필요 인력: 4 (고졸)\n크기: 2x2\n효과: 석유 추출, 공해 배출\n운영 모드:\n- 기본\n업그레이드:\n- 수리학적파쇄 시추공 (냉전, 3500, 효율 +20%, 공해 +50%)\n- 코일 튜브 시추기 (냉전, 2500, 매장지 소모량 감소)
FoodResource	8	양식장	4000	8000	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColdWar\\T_ICO_ColdWar_fishFarm.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColdWar\\T_ICO_ColdWar_fishFarm.png	등장 시기: 냉전 시대\n필요 인력: 4 (고졸)\n필요 전력: 10MW\n크기: 3x4\n효과: 물고기/조개류 양식\n운영 모드:\n- 기본\n업그레이드:\n- 대용량 수조 (냉전, 2000, 생산량 +10%, 외부 재고 +1920)\n- 조수 시뮬레이터 (4000, 생산량 +25%, 전력 +25MW)\n- 해수 파이프라인 (냉전, 750, 가뭄/화재 면역)
FoodResource	9	석유 시추 장치	10000	20000	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColdWar\\T_ICO_ColdWar_oilRig.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColdWar\\T_ICO_ColdWar_oilRig.png	등장 시기: 냉전 시대\n필요 인력: 6 (고졸)\n크기: 3x2\n비고: 해양\n효과: 해양 석유 매장지에서 석유 채굴
FoodResource	10	대규모 수경 농장	2000	4000	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsModernTimes\\T_ICO_ModernTimes_hydrophobicPlantation.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsModernTimes\\T_ICO_ModernTimes_hydrophobicPlantation.png	등장 시기: 현대 시대\n필요 인력: 4 (고졸)\n필요 전력: 30MW\n크기: 3x5\n효과: 지역 작물 상태와 무관하게 선택 작물 생산
FoodResource	11	공장식 목장	2500	5000	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsModernTimes\\T_ICO_ModernTimes_factoryRanch.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsModernTimes\\T_ICO_ModernTimes_factoryRanch.png	등장 시기: 현대 시대\n필요 인력: 4 (무학력자)\n필요 전력: 25MW\n크기: 4x4\n효과: 주변 가축 상태와 독립 운영, 사료 필요(옥수수/악어는 생선)\n비고: 적은 공해 배출
Industry	0	자동화 광산	4500	9000	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsModernTimes\\T_ICO_ModernTimes_automatedMine.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsModernTimes\\T_ICO_ModernTimes_automatedMine.png	등장 시기: 현대 시대\n필요 인력: 3 (무학력자)\n필요 전력: 50MW\n크기: 3x4\n효과: 석탄/철/금/니켈/알루미늄/우라늄 자원을 고속 추출\n비고: 공해 배출
Industry	1	제재소	없음	5600	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_lumberMill.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_lumberMill.png	등장 시기: 식민지 시대\n필요 인력: 4 (무학력자)\n크기: 3x4\n운영 모드:\n- 효율적인 하차\n- 신속한 하차 (통나무 소모 +30%, 효율 +30%)\n업그레이드:\n- 전기톱 (세계대전, 5000, 효율 +30%, 전력 10MW 필요)\n- 손가락 보험 (현대, 유지비 +$10, 직업 품질 +10)
Industry	2	럼주 증류소	없음	9600	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_rumDistillery.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_rumDistillery.png	등장 시기: 식민지 시대\n필요 인력: 6 (무학력자)\n크기: 4x2\n운영 모드:\n- 수출용 진품 혼합물\n- 지역시장 공급 (산출량 -25%, 나이트클럽/경기장 효율 보너스)\n업그레이드:\n- 당밀 증류 (식민지, 5000, 설탕 소모 -25%)\n- 전기 증류 (세계대전, 5000, 효율 +20%, 전력 30MW 필요)
Industry	3	무두질 공장	없음	5000	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_tannery.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColonial\\T_ICO_Colonial_tannery.png	등장 시기: 데이터 미기재\n필요 인력: 5 (무학력자)\n크기: 3x3\n운영 모드:\n- 신중한 측정\n- 다다익선 (효율 +50%, 공해 +100%, 유지비 +100%)\n업그레이드:\n- 크롬 무두질 (세계대전, 5000, 생가죽 소모 -25%)\n- 향기 스프레이 (냉전, 직업 품질 +10)
Industry	4	통조림 공장	3350	6500	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_cannery.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_cannery.png	등장 시기: 세계대전 시대\n필요 인력: 8 (무학력자)\n필요 전력: 80MW\n크기: 3x3\n효과: 파인애플/물고기를 통조림으로 가공, 공해 배출
Industry	5	유제품 공장	5350	10500	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_creamery.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_creamery.png	등장 시기: 세계대전 시대\n필요 인력: 4 (무학력자)\n크기: 4x4\n효과: 우유를 치즈로 가공, 적은 공해 배출
Industry	6	시가 공장	6750	13600	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_cigarFactory.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_cigarFactory.png	등장 시기: 세계대전 시대\n필요 인력: 5 (고졸)\n크기: 3x5\n운영 모드:\n- 말고, 말고 또 말고\n- 지역시장 공급 (산출량 -25%, 요트 클럽/은행 효율 보너스)\n업그레이드:\n- 자동 생산 라인 (세계대전, 6000, 일자리 -2, 효율 +20%)\n- 온도 조절기 (냉전, 6000, 투입량 -20%, 전력 +5MW)\n- 자동 절단기 (냉전, 5000, 효율 +10%, 전력 +30MW)
Industry	7	조선소	2375	9500	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_shipyard.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_shipyard.png	등장 시기: 세계대전 시대\n필요 인력: 5 (고졸)\n크기: 3x3\n비고: 해안\n효과: 널빤지를 가공해 보트 생산, 공해 배출\n업그레이드:\n- 중형 크레인 (세계대전, 12000, 효율 +20%, 직업 품질 +10)\n- 용접 설비 (냉전, 내부 재고 확장, 강철/알루미늄 사용 가능, 전력 5MW 필요)
Industry	8	제철소	4750	9500	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_steelMill.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_steelMill.png	등장 시기: 세계대전 시대\n필요 인력: 8 (고졸)\n크기: 4x2\n운영 모드:\n- 표준 공정\n- 노정 가스 재순환 (효율 -10%, 공해 -20%)\n- 열간 압연 (효율 +20%, 유지비 +20%)\n업그레이드:\n- 전기 아크 가열로 (현대, 석탄 소모 -50%, 전력 80MW 필요)
Industry	9	방직소	2625	10500	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_textileMill.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_textileMill.png	등장 시기: 세계대전 시대\n필요 인력: 10 (무학력자)\n크기: 5x3\n운영 모드:\n- 재래식 염료\n- 아크릴 염료 (효율 +15%, 공해 +50%)\n- 유기농 염료 (현대, 연구 필요, 공해 -50%, 효율 -20%)\n업그레이드:\n- 작업장 확장 (세계대전, 4500, 일자리 +2)\n- 고급 원단 롤러장 (세계대전, 3800, 효율 +10%, 전력 50MW 필요)\n- 통합 직물 공급기 (냉전, 양모/목화 동시 투입 시 산출량 +15%)
Industry	10	무기 공장	4500	18000	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_weaponsFactory.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsWorldWars\\T_ICO_WorldWar_weaponsFactory.png	등장 시기: 세계대전 시대\n필요 인력: 8 (고졸)\n크기: 5x4\n효과: 강철/니켈을 가공해 무기 생산, 공해 배출
Industry	11	초콜릿 공장	3250	6500	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColdWar\\T_ICO_ColdWar_chocolateFactory.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColdWar\\T_ICO_ColdWar_chocolateFactory.png	등장 시기: 냉전 시대\n필요 인력: 5 (고졸)\n크기: 2x3\n효과: 코코아/설탕을 가공해 초콜릿 생산, 적은 공해 배출
Industry	12	가구 공장	4000	8000	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColdWar\\T_ICO_ColdWar_furnitureFactory.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColdWar\\T_ICO_ColdWar_furnitureFactory.png	등장 시기: 냉전 시대\n필요 인력: 5 (무학력자)\n필요 전력: 25MW\n크기: 2x3\n효과: 널빤지를 가공해 가구 생산, 공해 배출\n업그레이드:\n- 조립 공정 (냉전, 전력 +25MW, 효율 +100%)\n- 주형틀 (내부 플라스틱 재고 +8320, 전력 +35MW)\n- CAD 소프트웨어 (현대, 고졸 필요, 널빤지 소모 -25%)
Industry	13	보석 세공소	4750	9500	Diamond3x3SingleMarker	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColdWar\\T_ICO_ColdWar_jewelryFactory.png	TROPICO_ASSET\\Visuals\\UI\\Icons\\BuildingIcons\\BuildingsColdWar\\T_ICO_ColdWar_jewelryFactory.png	등장 시기: 냉전 시대\n필요 인력: 4 (고졸)\n크기: 3x2\n효과: 황금을 가공해 보석류 생산, 적은 공해 배출
